korean,correct,correctkorean,question,solution,wrong
"버튼을 누르면 어떤 일이 발생하는지 물어볼 때","What happens when you press this button?","이 버튼을 누르면 어떤 일이 발생하나요?","What happens when you (____) this button?","press","ignore"
"규칙을 어길 때 어떤 일이 발생하는지 물어볼 때","What happens if you break the rules?","규칙을 어기면 어떤 일이 발생하나요?","What happens if you (____) the rules?","break","follow"
"정전이 되면 어떤 일이 발생하는지 물어볼 때","What happens during a blackout?","정전이 되면 어떤 일이 발생하나요?","What happens during a (____)?","blackout","party"
"실수를 하면 어떤 일이 발생하는지 물어볼 때","What happens if you make a mistake?","실수를 하면 어떤 일이 발생하나요?","What happens if you (____) a mistake?","make","avoid"
"비가 올 때 어떤 일이 발생하는지 물어볼 때","What happens when it rains?","비가 오면 어떤 일이 발생하나요?","What happens when it (____)?","rains","shines"
"문제가 생기면 어떤 일이 발생하는지 물어볼 때","What happens if a problem occurs?","문제가 생기면 어떤 일이 발생하나요?","What happens if a problem (____)?","occurs","disappears"
"불이 나면 어떤 일이 발생하는지 물어볼 때","What happens in case of a fire?","불이 나면 어떤 일이 발생하나요?","What happens in case of a (____)?","fire","flood"
"만약 연기되면 어떤 일이 발생하는지 물어볼 때","What happens if the event is postponed?","행사가 연기되면 어떤 일이 발생하나요?","What happens if the event is (____)?","postponed","canceled"
"그것을 먹으면 어떤 일이 발생하는지 물어볼 때","What happens if you eat that?","그것을 먹으면 어떤 일이 발생하나요?","What happens if you (____) that?","eat","avoid"
"전화가 꺼지면 어떤 일이 발생하는지 물어볼 때","What happens if the phone turns off?","전화가 꺼지면 어떤 일이 발생하나요?","What happens if the phone (____) off?","turns","stays"
"행복할 때 당신을 행복하게 만드는 것이 무엇인지 물어볼 때","What makes you happy?","당신을 행복하게 만드는 것은 무엇인가요?","What makes you (____)?","happy","sad"
"화가 날 때 당신을 화나게 만드는 것이 무엇인지 물어볼 때","What makes you angry?","당신을 화나게 만드는 것은 무엇인가요?","What makes you (____)?","angry","calm"
"슬플 때 당신을 슬프게 만드는 것이 무엇인지 물어볼 때","What makes you sad?","당신을 슬프게 만드는 것은 무엇인가요?","What makes you (____)?","sad","happy"
"웃을 때 당신을 웃게 만드는 것이 무엇인지 물어볼 때","What makes you laugh?","당신을 웃게 만드는 것은 무엇인가요?","What makes you (____)?","laugh","cry"
"긴장할 때 당신을 긴장하게 만드는 것이 무엇인지 물어볼 때","What makes you nervous?","당신을 긴장하게 만드는 것은 무엇인가요?","What makes you (____)?","nervous","relaxed"
"자랑스러울 때 당신을 자랑스럽게 만드는 것이 무엇인지 물어볼 때","What makes you proud?","당신을 자랑스럽게 만드는 것은 무엇인가요?","What makes you (____)?","proud","ashamed"
"두려울 때 당신을 두렵게 만드는 것이 무엇인지 물어볼 때","What makes you scared?","당신을 두렵게 만드는 것은 무엇인가요?","What makes you (____)?","scared","brave"
"기쁘게 할 때 당신을 기쁘게 만드는 것이 무엇인지 물어볼 때","What makes you excited?","당신을 기쁘게 만드는 것은 무엇인가요?","What makes you (____)?","excited","bored"
"용감하게 할 때 당신을 용감하게 만드는 것이 무엇인지 물어볼 때","What makes you brave?","당신을 용감하게 만드는 것은 무엇인가요?","What makes you (____)?","brave","fearful"
"불안하게 할 때 당신을 불안하게 만드는 것이 무엇인지 물어볼 때","What makes you anxious?","당신을 불안하게 만드는 것은 무엇인가요?","What makes you (____)?","anxious","calm"
"스트레스를 받을 때 당신을 스트레스 받게 만드는 것이 무엇인지 물어볼 때","What makes you stressed?","당신을 스트레스 받게 만드는 것은 무엇인가요?","What makes you (____)?","stressed","relaxed"
"충격을 받을 때 당신을 충격받게 만드는 것이 무엇인지 물어볼 때","What makes you shocked?","당신을 충격받게 만드는 것은 무엇인가요?","What makes you (____)?","shocked","calm"
"자신감을 느낄 때 당신을 자신감 있게 만드는 것이 무엇인지 물어볼 때","What makes you confident?","당신을 자신감 있게 만드는 것은 무엇인가요?","What makes you (____)?","confident","insecure"
"슬퍼질 때 당신을 슬프게 만드는 것이 무엇인지 물어볼 때","What makes you feel down?","당신을 슬프게 만드는 것은 무엇인가요?","What makes you feel (____)?","down","up"
"즐거울 때 당신을 즐겁게 만드는 것이 무엇인지 물어볼 때","What makes you joyful?","당신을 즐겁게 만드는 것은 무엇인가요?","What makes you (____)?","joyful","sad"
"당신을 강하게 만드는 것이 무엇인지 물어볼 때","What makes you strong?","당신을 강하게 만드는 것은 무엇인가요?","What makes you (____)?","strong","weak"
"당신을 약하게 만드는 것이 무엇인지 물어볼 때","What makes you weak?","당신을 약하게 만드는 것은 무엇인가요?","What makes you (____)?","weak","strong"
"당신을 열정적으로 만드는 것이 무엇인지 물어볼 때","What makes you passionate?","당신을 열정적으로 만드는 것은 무엇인가요?","What makes you (____)?","passionate","apathetic"
"당신을 웃게 만드는 것이 무엇인지 물어볼 때","What makes you smile?","당신을 웃게 만드는 것은 무엇인가요?","What makes you (____)?","smile","frown"
"당신을 궁금하게 만드는 것이 무엇인지 물어볼 때","What makes you curious?","당신을 궁금하게 만드는 것은 무엇인가요?","What makes you (____)?","curious","bored"
"당신을 피곤하게 만드는 것이 무엇인지 물어볼 때","What makes you tired?","당신을 피곤하게 만드는 것은 무엇인가요?","What makes you (____)?","tired","energetic"
"당신을 혼란스럽게 만드는 것이 무엇인지 물어볼 때","What makes you confused?","당신을 혼란스럽게 만드는 것은 무엇인가요?","What makes you (____)?","confused","clear-headed"
"당신을 지치게 만드는 것이 무엇인지 물어볼 때","What makes you exhausted?","당신을 지치게 만드는 것은 무엇인가요?","What makes you (____)?","exhausted","refreshed"
"당신을 활기차게 만드는 것이 무엇인지 물어볼 때","What makes you energetic?","당신을 활기차게 만드는 것은 무엇인가요?","What makes you (____)?","energetic","lazy"
