korean,correct,correctkorean,question,solution,wrong
"지금 몇 시인지 물어볼 때","What time is it now?","지금 몇 시인가요?","What (____) is it now?","time","day"
"회의가 몇 시에 시작하는지 물어볼 때","What time does the meeting start?","회의는 몇 시에 시작하나요?","What (____) does the meeting start?","time","place"
"영화가 언제 시작하는지 물어볼 때","What time does the movie begin?","영화는 언제 시작하나요?","What (____) does the movie begin?","time","scene"
"수업이 몇 시에 끝나는지 물어볼 때","What time does class end?","수업은 몇 시에 끝나나요?","What (____) does class end?","time","topic"
"언제 점심을 먹는지 물어볼 때","What time do you have lunch?","점심은 몇 시에 먹나요?","What (____) do you have lunch?","time","food"
"당신의 생일이 언제인지 물어볼 때","What day is your birthday?","당신의 생일은 언제인가요?","What (____) is your birthday?","day","year"
"시험이 언제 있는지 물어볼 때","What day is the exam scheduled?","시험이 언제 예정되어 있나요?","What (____) is the exam scheduled?","day","subject"
"오늘이 무슨 요일인지 물어볼 때","What day is it today?","오늘은 무슨 요일인가요?","What (____) is it today?","day","time"
"회의가 언제 있는지 물어볼 때","What day is the meeting?","회의는 언제인가요?","What (____) is the meeting?","day","topic"
"무슨 요일에 운동하는지 물어볼 때","What day do you exercise?","무슨 요일에 운동하나요?","What (____) do you exercise?","day","time"
"내일이 무슨 요일인지 물어볼 때","What day is tomorrow?","내일은 무슨 요일인가요?","What (____) is tomorrow?","day","month"
"무슨 요일에 수영하러 가는지 물어볼 때","What day do you go swimming?","무슨 요일에 수영하러 가나요?","What (____) do you go swimming?","day","time"
"공휴일이 언제인지 물어볼 때","What day is the holiday?","공휴일은 언제인가요?","What (____) is the holiday?","day","reason"
"무슨 요일에 출근하는지 물어볼 때","What day do you work?","무슨 요일에 일하나요?","What (____) do you work?","day","place"
"회의가 며칠인지 물어볼 때","What day is the meeting scheduled?","회의는 며칠로 예정되어 있나요?","What (____) is the meeting scheduled?","day","time"
"다른 옵션이 있는지 물어볼 때","What else can we do?","다른 옵션이 있나요?","What (____) can we do?","else","time"
"다른 계획이 있는지 물어볼 때","What else is on your schedule?","다른 계획이 있나요?","What (____) is on your schedule?","else","soon"
"다른 방법이 있는지 물어볼 때","What else can we try?","다른 방법이 있나요?","What (____) can we try?","else","time"
"다른 의견이 있는지 물어볼 때","What else do you think?","다른 의견이 있나요?","What (____) do you think?","else","soon"
"다른 질문이 있는지 물어볼 때","What else do you want to ask?","다른 질문이 있나요?","What (____) do you want to ask?","else","soon"
"다른 음식이 있는지 물어볼 때","What else is on the menu?","메뉴에 다른 음식이 있나요?","What (____) is on the menu?","else","time"
"다른 활동이 있는지 물어볼 때","What else can we do for fun?","다른 활동이 있나요?","What (____) can we do for fun?","else","time"
"다른 도서가 있는지 물어볼 때","What else do you have to read?","다른 도서가 있나요?","What (____) do you have to read?","else","soon"
"다른 정보가 있는지 물어볼 때","What else do you know?","다른 정보가 있나요?","What (____) do you know?","else","soon"
"다른 일정이 있는지 물어볼 때","What else is on your calendar?","다른 일정이 있나요?","What (____) is on your calendar?","else","soon"
"다른 방법이 있는지 물어볼 때","What else can we consider?","다른 방법이 있나요?","What (____) can we consider?","else","time"
"다른 아이디어가 있는지 물어볼 때","What else do you suggest?","다른 아이디어가 있나요?","What (____) do you suggest?","else","soon"
"다른 친구가 있는지 물어볼 때","What else do you know about him?","그에 대해 다른 정보를 알고 있나요?","What (____) do you know about him?","else","time"
"다른 활동이 있는지 물어볼 때","What else do you like to do?","다른 활동이 있나요?","What (____) do you like to do?","else","time"
"다른 계획이 있는지 물어볼 때","What else do you have planned?","다른 계획이 있나요?","What (____) do you have planned?","else","time"
"다른 요청이 있는지 물어볼 때","What else do you need?","다른 요청이 있나요?","What (____) do you need?","else","soon"
"다른 문제가 있는지 물어볼 때","What else is the issue?","다른 문제가 있나요?","What (____) is the issue?","else","soon"
"다른 생각이 있는지 물어볼 때","What else do you have in mind?","다른 생각이 있나요?","What (____) do you have in mind?","else","time"
"다른 기회가 있는지 물어볼 때","What else is possible?","다른 기회가 있나요?","What (____) is possible?","else","soon"
"다른 날에 만날 수 있는지 물어볼 때","What day works best for you?","다른 날에 만날 수 있나요?","What (____) works best for you?","day","time"
"회의 시간이 언제인지 물어볼 때","What time should we meet?","회의 시간은 언제인가요?","What (____) should we meet?","time","place"
"다른 소식이 있는지 물어볼 때","What else is new?","다른 소식이 있나요?","What (____) is new?","else","soon"
"다른 옵션이 있는지 물어볼 때","What else can we choose?","다른 옵션이 있나요?","What (____) can we choose?","else","time"
"다른 음료가 있는지 물어볼 때","What else do you have to drink?","다른 음료가 있나요?","What (____) do you have to drink?","else","soon"
"다른 사람과 연락할 수 있는지 물어볼 때","What time can I reach you?","언제 연락할 수 있나요?","What (____) can I reach you?","time","place"
