korean,correct,correctkorean,question,solution,wrong
"나를 도와줄 수 있는지 물어볼 때","Can you help me with this task?","이 일을 도와줄 수 있나요?","Can you (____) me with this task?","help","see"
"문을 열어줄 수 있는지 물어볼 때","Can you open the door for me?","문을 열어줄 수 있나요?","Can you (____) the door for me?","open","lock"
"사진을 찍어달라고 할 때","Can you take a picture of us?","우리 사진을 찍어줄 수 있나요?","Can you (____) a picture of us?","take","draw"
"노래를 불러줄 수 있는지 물어볼 때","Can you sing a song for us?","노래를 불러줄 수 있나요?","Can you (____) a song for us?","sing","write"
"친구에게 빌린 책을 반납할 때","Can you return the book to the library?","그 책을 도서관에 반납해줄 수 있나요?","Can you (____) the book to the library?","return","buy"
"주말에 같이 영화 보러 가자고 할 때","Can you go to the movies with me this weekend?","이번 주말에 영화 보러 갈 수 있나요?","Can you (____) to the movies with me this weekend?","go","stay"
"부탁할 일이 있을 때","Can you do me a favor?","부탁 하나 들어줄 수 있나요?","Can you (____) me a favor?","do","give"
"메시지를 전달해줄 수 있는지 물어볼 때","Can you deliver this message to John?","이 메시지를 존에게 전달해줄 수 있나요?","Can you (____) this message to John?","deliver","ignore"
"음식을 주문해줄 수 있는지 물어볼 때","Can you order pizza for dinner?","저녁으로 피자를 주문해줄 수 있나요?","Can you (____) pizza for dinner?","order","cook"
"아이들을 돌봐줄 수 있는지 물어볼 때","Can you watch the kids for an hour?","아이들을 한 시간 동안 봐줄 수 있나요?","Can you (____) the kids for an hour?","watch","ignore"
"중요한 이메일을 확인해줄 수 있는지 물어볼 때","Can you check this email for me?","이 이메일을 확인해줄 수 있나요?","Can you (____) this email for me?","check","delete"
"전화기를 빌려줄 수 있는지 물어볼 때","Can you lend me your phone?","전화기를 빌려줄 수 있나요?","Can you (____) me your phone?","lend","sell"
"회의 자료를 준비해줄 수 있는지 물어볼 때","Can you prepare the presentation materials?","발표 자료를 준비해줄 수 있나요?","Can you (____) the presentation materials?","prepare","cancel"
"지갑을 찾았는지 물어볼 때","Can you find my wallet?","내 지갑을 찾아줄 수 있나요?","Can you (____) my wallet?","find","lose"
"파티에 참석할 수 있는지 물어볼 때","Can you attend the party this Saturday?","이번 주 토요일에 파티에 참석할 수 있나요?","Can you (____) the party this Saturday?","attend","cancel"
"차를 고쳐줄 수 있는지 물어볼 때","Can you fix my car?","내 차를 고쳐줄 수 있나요?","Can you (____) my car?","fix","sell"
"프로젝트를 함께할 수 있는지 물어볼 때","Can you join this project?","이 프로젝트에 참여할 수 있나요?","Can you (____) this project?","join","ignore"
"강아지를 산책시켜줄 수 있는지 물어볼 때","Can you walk the dog this evening?","오늘 저녁에 강아지를 산책시켜줄 수 있나요?","Can you (____) the dog this evening?","walk","run"
"커피를 한 잔 만들어줄 수 있는지 물어볼 때","Can you make me a cup of coffee?","커피 한 잔 만들어줄 수 있나요?","Can you (____) me a cup of coffee?","make","buy"
"새로운 앱을 설치해줄 수 있는지 물어볼 때","Can you install this app for me?","이 앱을 설치해줄 수 있나요?","Can you (____) this app for me?","install","delete"
"짐을 옮겨줄 수 있는지 물어볼 때","Can you move these boxes for me?","이 상자들을 옮겨줄 수 있나요?","Can you (____) these boxes for me?","move","break"
"문제의 답을 알려줄 수 있는지 물어볼 때","Can you tell me the answer to this question?","이 질문의 답을 알려줄 수 있나요?","Can you (____) me the answer to this question?","tell","hide"
"전화를 걸어줄 수 있는지 물어볼 때","Can you call my brother for me?","내 형에게 전화해줄 수 있나요?","Can you (____) my brother for me?","call","text"
"이메일을 전송해줄 수 있는지 물어볼 때","Can you send this email for me?","이 이메일을 전송해줄 수 있나요?","Can you (____) this email for me?","send","delete"
"도서관에서 책을 빌려줄 수 있는지 물어볼 때","Can you borrow this book for me?","이 책을 빌려줄 수 있나요?","Can you (____) this book for me?","borrow","buy"
"점심을 사다줄 수 있는지 물어볼 때","Can you buy me lunch?","점심을 사다줄 수 있나요?","Can you (____) me lunch?","buy","cook"
"숙제를 도와줄 수 있는지 물어볼 때","Can you help me with my homework?","내 숙제를 도와줄 수 있나요?","Can you (____) me with my homework?","help","ignore"
"보고서를 작성해줄 수 있는지 물어볼 때","Can you write this report for me?","이 보고서를 작성해줄 수 있나요?","Can you (____) this report for me?","write","read"
"가게에 같이 가줄 수 있는지 물어볼 때","Can you come with me to the store?","가게에 같이 가줄 수 있나요?","Can you (____) with me to the store?","come","stay"
"여권을 가져다줄 수 있는지 물어볼 때","Can you bring my passport?","여권을 가져다줄 수 있나요?","Can you (____) my passport?","bring","lose"
"컴퓨터를 고쳐줄 수 있는지 물어볼 때","Can you repair my computer?","내 컴퓨터를 고쳐줄 수 있나요?","Can you (____) my computer?","repair","break"
"도시락을 만들어줄 수 있는지 물어볼 때","Can you pack a lunch for me?","도시락을 싸줄 수 있나요?","Can you (____) a lunch for me?","pack","eat"
