korean,correct,correctkorean,question,solution,wrong
"오늘의 날씨가 어떤지 물어볼 때","What is the weather like today?","오늘 날씨가 어떤가요?","What is the (____) like today?","weather","temperature"
"너의 직업이 무엇인지 물어볼 때","What is your job?","당신의 직업은 무엇인가요?","What is your (____)?","job","hobby"
"당신의 이름이 무엇인지 물어볼 때","What is your name?","당신의 이름은 무엇인가요?","What is your (____)?","name","nickname"
"그 영화의 줄거리가 무엇인지 물어볼 때","What is the plot of the movie?","그 영화의 줄거리가 무엇인가요?","What is the (____) of the movie?","plot","cast"
"가장 좋아하는 음식이 무엇인지 물어볼 때","What is your favorite food?","가장 좋아하는 음식은 무엇인가요?","What is your (____) food?","favorite","daily"
"그녀의 직업이 무엇인지 물어볼 때","What is her profession?","그녀의 직업은 무엇인가요?","What is her (____)?","profession","hobby"
"회사 이름이 무엇인지 물어볼 때","What is the name of your company?","당신의 회사 이름은 무엇인가요?","What is the (____) of your company?","name","location"
"당신의 취미가 무엇인지 물어볼 때","What is your hobby?","당신의 취미는 무엇인가요?","What is your (____)?","hobby","job"
"지금 시간이 몇 시인지 물어볼 때","What time is it now?","지금 몇 시인가요?","What (____) is it now?","time","date"
"오늘이 무슨 요일인지 물어볼 때","What day is it today?","오늘 무슨 요일인가요?","What (____) is it today?","day","month"
"오늘의 날짜가 무엇인지 물어볼 때","What is the date today?","오늘의 날짜는 무엇인가요?","What is the (____) today?","date","year"
"문제의 원인이 무엇인지 물어볼 때","What is the cause of the problem?","문제의 원인은 무엇인가요?","What is the (____) of the problem?","cause","result"
"가장 좋아하는 영화가 무엇인지 물어볼 때","What is your favorite movie?","가장 좋아하는 영화는 무엇인가요?","What is your (____) movie?","favorite","recent"
"그것의 목적이 무엇인지 물어볼 때","What is its purpose?","그것의 목적은 무엇인가요?","What is its (____)?","purpose","color"
"당신의 목표가 무엇인지 물어볼 때","What is your goal?","당신의 목표는 무엇인가요?","What is your (____)?","goal","journey"
"이 식당의 주소가 무엇인지 물어볼 때","What is the address of this restaurant?","이 식당의 주소는 무엇인가요?","What is the (____) of this restaurant?","address","menu"
"당신의 꿈이 무엇인지 물어볼 때","What is your dream?","당신의 꿈은 무엇인가요?","What is your (____)?","dream","routine"
"그 제품의 가격이 얼마인지 물어볼 때","What is the price of this product?","이 제품의 가격은 얼마인가요?","What is the (____) of this product?","price","quality"
"가장 최근에 읽은 책이 무엇인지 물어볼 때","What is the last book you read?","가장 최근에 읽은 책은 무엇인가요?","What is the (____) book you read?","last","first"
"그곳의 특별한 점이 무엇인지 물어볼 때","What is special about that place?","그곳의 특별한 점은 무엇인가요?","What is (____) about that place?","special","normal"
"당신의 취미가 무엇인지 물어볼 때","What is your hobby?","당신의 취미는 무엇인가요?","What is your (____)?","hobby","job"
"가장 좋아하는 색깔이 무엇인지 물어볼 때","What is your favorite color?","가장 좋아하는 색깔은 무엇인가요?","What is your (____) color?","favorite","least"
"주말에 계획이 있는지 물어볼 때","What are your plans for the weekend?","주말에 계획이 무엇인가요?","What are your (____) for the weekend?","plans","fears"
"가장 좋아하는 스포츠가 무엇인지 물어볼 때","What is your favorite sport?","가장 좋아하는 스포츠는 무엇인가요?","What is your (____) sport?","favorite","difficult"
"오늘 기분이 어떤지 물어볼 때","What is your mood today?","오늘 기분은 어떠신가요?","What is your (____) today?","mood","weather"
"당신의 형제자매는 몇 명인지 물어볼 때","What is the number of your siblings?","형제자매는 몇 명인가요?","What is the (____) of your siblings?","number","age"
"그 영화의 주제가 무엇인지 물어볼 때","What is the theme of the movie?","그 영화의 주제는 무엇인가요?","What is the (____) of the movie?","theme","cast"
"이 대회의 규칙이 무엇인지 물어볼 때","What are the rules of this competition?","이 대회의 규칙은 무엇인가요?","What are the (____) of this competition?","rules","players"
"회사에서의 역할이 무엇인지 물어볼 때","What is your role in the company?","회사에서의 당신의 역할은 무엇인가요?","What is your (____) in the company?","role","salary"
"학교의 위치가 어디인지 물어볼 때","What is the location of the school?","학교의 위치는 어디인가요?","What is the (____) of the school?","location","name"
