korean,correct,correctkorean,question,solution,wrong
"버스 정류장에서 누군가에게 물어보며","Can I take this bus to downtown?","이 버스를 타고 시내에 갈 수 있나요?","Can I (____) this bus to downtown?","take","sit"
"식당에서 메뉴를 요청할 때","Can I see the menu, please?","메뉴를 볼 수 있을까요?","Can I (____) the menu, please?","see","buy"
"친구에게 물건을 빌릴 때","Can I borrow your pen?","너의 펜을 빌려도 될까?","Can I (____) your pen?","borrow","keep"
"식당에서 물을 요청할 때","Can I have a glass of water?","물 한 잔 받을 수 있을까요?","Can I (____) a glass of water?","have","find"
"회의 중에 의견을 제안할 때","Can I suggest an idea?","아이디어를 제안해도 될까요?","Can I (____) an idea?","suggest","argue"
"영화를 선택할 때","Can I choose the movie?","영화를 선택해도 될까?","Can I (____) the movie?","choose","leave"
"친구에게 부탁할 때","Can I ask you a favor?","부탁 하나 해도 될까요?","Can I (____) you a favor?","ask","ignore"
"공공장소에서 사진을 찍기 전에","Can I take a picture here?","여기서 사진을 찍어도 될까요?","Can I (____) a picture here?","take","move"
"도서관에서 책을 찾을 때","Can I find this book here?","여기서 이 책을 찾을 수 있을까요?","Can I (____) this book here?","find","remove"
"수업 중에 질문할 때","Can I ask a question?","질문해도 될까요?","Can I (____) a question?","ask","leave"
"회의를 떠날 때","Can I leave the meeting now?","지금 회의를 떠나도 될까요?","Can I (____) the meeting now?","leave","end"
"친구의 집에서 음식을 먹을 때","Can I eat this cake?","이 케이크를 먹어도 될까요?","Can I (____) this cake?","eat","cook"
"새로운 노트북을 사용할 때","Can I use your laptop?","너의 노트북을 사용해도 될까요?","Can I (____) your laptop?","use","fix"
"휴가를 신청할 때","Can I take a day off next week?","다음 주에 하루 휴가를 내도 될까요?","Can I (____) a day off next week?","take","leave"
"파티에서 음악을 바꿀 때","Can I change the music?","음악을 바꿔도 될까요?","Can I (____) the music?","change","stop"
"영화관에서 좌석을 바꿀 때","Can I change my seat?","좌석을 바꿔도 될까요?","Can I (____) my seat?","change","leave"
"상점에서 상품을 환불할 때","Can I return this item?","이 상품을 환불할 수 있을까요?","Can I (____) this item?","return","sell"
"카페에서 커피를 주문할 때","Can I get a coffee, please?","커피 한 잔 받을 수 있을까요?","Can I (____) a coffee, please?","get","brew"
"공항에서 수하물을 부칠 때","Can I check this bag?","이 가방을 부칠 수 있을까요?","Can I (____) this bag?","check","buy"
"호텔에서 방을 예약할 때","Can I book a room for tonight?","오늘 밤 방을 예약할 수 있을까요?","Can I (____) a room for tonight?","book","leave"
"친구의 자전거를 빌릴 때","Can I ride your bike?","너의 자전거를 타도 될까요?","Can I (____) your bike?","ride","fix"
"식사 중 소금을 요청할 때","Can I have some salt, please?","소금을 좀 받을 수 있을까요?","Can I (____) some salt, please?","have","eat"
"화장실을 사용할 때","Can I use the restroom?","화장실을 사용해도 될까요?","Can I (____) the restroom?","use","clean"
"학교에서 책을 반납할 때","Can I return this book?","이 책을 반납해도 될까요?","Can I (____) this book?","return","keep"
"운전 중 길을 물어볼 때","Can I ask for directions?","길을 물어봐도 될까요?","Can I (____) for directions?","ask","follow"
"회의에서 자료를 요청할 때","Can I get the report?","보고서를 받을 수 있을까요?","Can I (____) the report?","get","write"
"영어 수업에서 도움을 요청할 때","Can I ask for help?","도움을 요청해도 될까요?","Can I (____) for help?","ask","offer"
"상사에게 보고서를 제출할 때","Can I submit this report?","이 보고서를 제출해도 될까요?","Can I (____) this report?","submit","edit"
"식당에서 음식을 포장할 때","Can I take this food to go?","이 음식을 포장해 갈 수 있을까요?","Can I (____) this food to go?","take","eat"
"친구에게 이메일 주소를 요청할 때","Can I have your email address?","너의 이메일 주소를 받을 수 있을까요?","Can I (____) your email address?","have","find"
