korean,correct,correctkorean,question,solution,wrong
"어떤 종류의 음악을 좋아하는지 물어볼 때","What kind of music do you like?","어떤 종류의 음악을 좋아하시나요?","What kind of (____) do you like?","music","food"
"어떤 종류의 영화가 좋은지 물어볼 때","What kind of movies do you enjoy?","어떤 종류의 영화를 좋아하시나요?","What kind of (____) do you enjoy?","movies","books"
"어떤 종류의 책을 읽는지 물어볼 때","What kind of books do you read?","어떤 종류의 책을 읽으시나요?","What kind of (____) do you read?","books","songs"
"어떤 종류의 음식이 맛있는지 물어볼 때","What kind of food do you find delicious?","어떤 종류의 음식이 맛있나요?","What kind of (____) do you find delicious?","food","clothes"
"어떤 종류의 차를 선호하는지 물어볼 때","What kind of car do you prefer?","어떤 종류의 차를 선호하시나요?","What kind of (____) do you prefer?","car","bike"
"어떤 종류의 운동을 하는지 물어볼 때","What kind of exercise do you do?","어떤 종류의 운동을 하시나요?","What kind of (____) do you do?","exercise","rest"
"어떤 종류의 일을 하는지 물어볼 때","What kind of job do you have?","어떤 종류의 일을 하시나요?","What kind of (____) do you have?","job","hobby"
"어떤 종류의 여행을 좋아하는지 물어볼 때","What kind of travel do you like?","어떤 종류의 여행을 좋아하시나요?","What kind of (____) do you like?","travel","work"
"어떤 종류의 예술을 좋아하는지 물어볼 때","What kind of art do you appreciate?","어떤 종류의 예술을 좋아하시나요?","What kind of (____) do you appreciate?","art","science"
"어떤 종류의 취미가 있는지 물어볼 때","What kind of hobbies do you have?","어떤 종류의 취미가 있나요?","What kind of (____) do you have?","hobbies","jobs"
"어떤 종류의 커피를 마시는지 물어볼 때","What kind of coffee do you drink?","어떤 종류의 커피를 마시나요?","What kind of (____) do you drink?","coffee","tea"
"어떤 종류의 꽃을 좋아하는지 물어볼 때","What kind of flowers do you like?","어떤 종류의 꽃을 좋아하시나요?","What kind of (____) do you like?","flowers","trees"
"어떤 종류의 날씨를 좋아하는지 물어볼 때","What kind of weather do you prefer?","어떤 종류의 날씨를 좋아하시나요?","What kind of (____) do you prefer?","weather","food"
"어떤 종류의 게임을 하는지 물어볼 때","What kind of games do you play?","어떤 종류의 게임을 하시나요?","What kind of (____) do you play?","games","music"
"어떤 종류의 스포츠를 좋아하는지 물어볼 때","What kind of sports do you like?","어떤 종류의 스포츠를 좋아하시나요?","What kind of (____) do you like?","sports","studies"
"어떤 종류의 음료를 마시는지 물어볼 때","What kind of drinks do you enjoy?","어떤 종류의 음료를 즐기시나요?","What kind of (____) do you enjoy?","drinks","foods"
"어떤 종류의 옷을 입는지 물어볼 때","What kind of clothes do you wear?","어떤 종류의 옷을 입으시나요?","What kind of (____) do you wear?","clothes","cars"
"어떤 종류의 수업을 듣는지 물어볼 때","What kind of classes are you taking?","어떤 종류의 수업을 듣고 계신가요?","What kind of (____) are you taking?","classes","foods"
