korean,correct,correctkorean,question,solution,wrong
"아침에 운동을 하는지 물어볼 때","Do you exercise in the morning?","아침에 운동을 하시나요?","Do you (____) in the morning?","exercise","rest"
"커피를 좋아하는지 물어볼 때","Do you like coffee?","커피를 좋아하시나요?","Do you (____) coffee?","like","hate"
"강아지를 키우고 있는지 물어볼 때","Do you have a dog?","강아지를 키우고 있나요?","Do you (____) a dog?","have","ignore"
"요리를 자주 하는지 물어볼 때","Do you cook often?","자주 요리하시나요?","Do you (____) often?","cook","order"
"일요일에 일을 하는지 물어볼 때","Do you work on Sundays?","일요일에 일하시나요?","Do you (____) on Sundays?","work","relax"
"영화를 자주 보는지 물어볼 때","Do you watch movies frequently?","영화를 자주 보시나요?","Do you (____) movies frequently?","watch","avoid"
"여름을 좋아하는지 물어볼 때","Do you enjoy summer?","여름을 좋아하시나요?","Do you (____) summer?","enjoy","dislike"
"자전거를 탈 줄 아는지 물어볼 때","Do you know how to ride a bike?","자전거를 탈 줄 아시나요?","Do you (____) how to ride a bike?","know","forget"
"피아노를 연주할 줄 아는지 물어볼 때","Do you play the piano?","피아노를 연주할 줄 아시나요?","Do you (____) the piano?","play","hear"
"아침에 커피를 마시는지 물어볼 때","Do you drink coffee in the morning?","아침에 커피를 마시나요?","Do you (____) coffee in the morning?","drink","skip"
"도서관에 자주 가는지 물어볼 때","Do you visit the library often?","도서관에 자주 가시나요?","Do you (____) the library often?","visit","avoid"
"매일 운동을 하는지 물어볼 때","Do you work out every day?","매일 운동하시나요?","Do you (____) out every day?","work","rest"
"아침 식사를 거르는지 물어볼 때","Do you skip breakfast?","아침 식사를 거르시나요?","Do you (____) breakfast?","skip","have"
"영어를 배우고 있는지 물어볼 때","Do you study English?","영어를 배우고 있나요?","Do you (____) English?","study","forget"
"자주 여행을 가는지 물어볼 때","Do you travel often?","자주 여행을 가시나요?","Do you (____) often?","travel","stay"
"음악을 좋아하는지 물어볼 때","Do you like music?","음악을 좋아하시나요?","Do you (____) music?","like","hate"
"야채를 좋아하는지 물어볼 때","Do you eat vegetables?","야채를 좋아하시나요?","Do you (____) vegetables?","eat","avoid"
"책을 자주 읽는지 물어볼 때","Do you read books frequently?","책을 자주 읽으시나요?","Do you (____) books frequently?","read","write"
"뉴스를 매일 보는지 물어볼 때","Do you watch the news every day?","뉴스를 매일 보시나요?","Do you (____) the news every day?","watch","ignore"
"차를 자주 운전하는지 물어볼 때","Do you drive a car often?","차를 자주 운전하시나요?","Do you (____) a car often?","drive","sell"
"외식을 자주 하는지 물어볼 때","Do you eat out frequently?","외식을 자주 하시나요?","Do you (____) out frequently?","eat","cook"
"주말에 쉬는지 물어볼 때","Do you rest on weekends?","주말에 쉬시나요?","Do you (____) on weekends?","rest","work"
"휴가를 자주 가는지 물어볼 때","Do you take vacations often?","휴가를 자주 가시나요?","Do you (____) vacations often?","take","skip"
"매일 물을 많이 마시는지 물어볼 때","Do you drink a lot of water every day?","매일 물을 많이 마시나요?","Do you (____) a lot of water every day?","drink","spill"
"텔레비전을 자주 보는지 물어볼 때","Do you watch TV frequently?","텔레비전을 자주 보시나요?","Do you (____) TV frequently?","watch","ignore"
"주말에 스포츠를 하는지 물어볼 때","Do you play sports on weekends?","주말에 스포츠를 하시나요?","Do
"주말에 스포츠를 하는지 물어볼 때","Do you play sports on weekends?","주말에 스포츠를 하시나요?","Do you (____) sports on weekends?","play","watch"
"차를 소유하고 있는지 물어볼 때","Do you own a car?","차를 소유하고 계신가요?","Do you (____) a car?","own","rent"
"매일 일기를 쓰는지 물어볼 때","Do you write a diary every day?","매일 일기를 쓰시나요?","Do you (____) a diary every day?","write","read"
"채식을 하고 있는지 물어볼 때","Do you follow a vegetarian diet?","채식을 하고 계신가요?","Do you (____) a vegetarian diet?","follow","ignore"
"운전을 할 줄 아는지 물어볼 때","Do you know how to drive?","운전을 할 줄 아시나요?","Do you (____) how to drive?","know","forget"
"저녁에 공부하는지 물어볼 때","Do you study in the evening?","저녁에 공부하시나요?","Do you (____) in the evening?","study","sleep"
"강아지를 산책시키는지 물어볼 때","Do you walk your dog?","강아지를 산책시키시나요?","Do you (____) your dog?","walk","ride"
"주말에 가족과 시간을 보내는지 물어볼 때","Do you spend time with your family on weekends?","주말에 가족과 시간을 보내시나요?","Do you (____) time with your family on weekends?","spend","waste"
"영어를 유창하게 말하는지 물어볼 때","Do you speak English fluently?","영어를 유창하게 말하시나요?","Do you (____) English fluently?","speak","ignore"
"노래를 잘하는지 물어볼 때","Do you sing well?","노래를 잘하시나요?","Do you (____) well?","sing","draw"
