korean,correct,correctkorean,question,solution,wrong
"의료 서비스가 있는지 물어볼 때","Is there any medical service nearby?","근처에 의료 서비스가 있나요?","Is there any (____) service nearby?","medical","legal"
"비가 올 가능성이 있는지 물어볼 때","Is there any chance of rain today?","오늘 비가 올 가능성이 있나요?","Is there any (____) of rain today?","chance","certainty"
"의견이 다른 사람이 있는지 물어볼 때","Is there any disagreement among the team?","팀 내에 의견이 다른 사람이 있나요?","Is there any (____) among the team?","disagreement","agreement"
"주말에 활동이 있는지 물어볼 때","Is there any activity planned for the weekend?","주말에 활동이 계획되어 있나요?","Is there any (____) planned for the weekend?","activity","work"
"공짜로 제공되는 것이 있는지 물어볼 때","Is there any free service available?","공짜로 제공되는 서비스가 있나요?","Is there any (____) service available?","free","paid"
"주의할 것이 있는지 물어볼 때","Is there any caution I should be aware of?","주의할 사항이 있나요?","Is there any (____) I should be aware of?","caution","comfort"
"필요한 것이 있는지 물어볼 때","Is there anything you need?","필요한 것이 있나요?","Is there (____) you need?","anything","nothing"
"특별한 요구사항이 있는지 물어볼 때","Is there any special requirement for this job?","이 작업에 특별한 요구사항이 있나요?","Is there any (____) requirement for this job?","special","general"
"더 질문이 있는지 물어볼 때","Is there any more questions?","더 질문이 있나요?","Is there any (____) questions?","more","fewer"
"문을 열 방법이 있는지 물어볼 때","Is there any way to open this door?","이 문을 열 방법이 있나요?","Is there any (____) to open this door?","way","closure"
"즐길 거리가 있는지 물어볼 때","Is there any entertainment available here?","여기서 즐길 거리가 있나요?","Is there any (____) available here?","entertainment","work"
"문의할 사람이 있는지 물어볼 때","Is there anyone I can ask for help?","도움을 요청할 사람이 있나요?","Is there (____) I can ask for help?","anyone","no one"
"식수 공급이 있는지 물어볼 때","Is there any drinking water available?","식수 공급이 있나요?","Is there any (____) water available?","drinking","dirty"
"조용한 장소가 있는지 물어볼 때","Is there any quiet place around here?","주변에 조용한 장소가 있나요?","Is there any (____) place around here?","quiet","noisy"
"손님을 위한 공간이 있는지 물어볼 때","Is there any room for guests?","손님을 위한 공간이 있나요?","Is there any (____) for guests?","room","obstruction"
"관심 있는 사람이 있는지 물어볼 때","Is there anyone interested in this project?","이 프로젝트에 관심 있는 사람이 있나요?","Is there (____) interested in this project?","anyone","no one"
"건강 문제를 해결할 방법이 있는지 물어볼 때","Is there any solution for this health issue?","이 건강 문제를 해결할 방법이 있나요?","Is there any (____) for this health issue?","solution","problem"
"상품이 있는지 물어볼 때","Is there any product in stock?","재고에 상품이 있나요?","Is there any (____) in stock?","product","service"
"대안이 있는지 물어볼 때","Is there any alternative to this plan?","이 계획에 대한 대안이 있나요?","Is there any (____) to this plan?","alternative","certainty"
"이 지역에 공원이 있는지 물어볼 때","Is there any park in this area?","이 지역에 공원이 있나요?","Is there any (____) in this area?","park","building"
"이용할 수 있는 교통수단이 있는지 물어볼 때","Is there any public transportation available?","이용할 수 있는 대중교통이 있나요?","Is there any (____) transportation available?","public","private"
"컴퓨터 수리가 가능한지 물어볼 때","Is there any way to repair the computer?","컴퓨터를 수리할 방법이 있나요?","Is there any (____) to repair the computer?","way","problem"
"회의를 연기할 방법이 있는지 물어볼 때","Is there any option to postpone the meeting?","회의를 연기할 방법이 있나요?","Is there any (____) to postpone the meeting?","option","obligation"
"커피를 무료로 제공받을 수 있는지 물어볼 때","Is there any free coffee available?","무료 커피가 제공되나요?","Is there any (____) coffee available?","free","paid"
"작업을 쉽게 할 수 있는 방법이 있는지 물어볼 때","Is there any easier way to do this task?","이 작업을 쉽게 할 수 있는 방법이 있나요?","Is there any (____) way to do this task?","easier","harder"
"다른 의견이 있는지 물어볼 때","Is there any other opinion on this matter?","이 문제에 대해 다른 의견이 있나요?","Is there any (____) opinion on this matter?","other","same"
"시간이 있는지 물어볼 때","Is there any time available for a meeting?","회의할 시간이 있나요?","Is there any (____) available for a meeting?","time","lack"
"영업 시간이 있는지 물어볼 때","Is there any opening hours for this shop?","이 가게의 영업 시간이 있나요?","Is there any (____) hours for this shop?","opening","closing"
"교통 문제가 있는지 물어볼 때","Is there any traffic problem today?","오늘 교통 문제가 있나요?","Is there any (____) problem today?","traffic","weather"
"학생 할인 혜택이 있는지 물어볼 때","Is there any student discount available?","학생 할인 혜택이 있나요?","Is there any (____) discount available?","student","adult"
"누구에게 물어볼 수 있는지 물어볼 때","Is there anyone I can ask for advice?","조언을 구할 사람이 있나요?","Is there (____) I can ask for advice?","anyone","nobody"
