korean,correct,correctkorean,question,solution,wrong
"창문을 열어줄 수 있는지 물어볼 때","Would you mind opening the window?","창문 좀 열어주시겠어요?","Would you mind (____) the window?","opening","closing"
"이야기 좀 들어줄 수 있는지 물어볼 때","Would you mind listening to my story?","제 이야기 좀 들어주시겠어요?","Would you mind (____) to my story?","listening","ignoring"
"사진을 찍어줄 수 있는지 물어볼 때","Would you mind taking a picture of us?","우리 사진 좀 찍어주시겠어요?","Would you mind (____) a picture of us?","taking","painting"
"라디오 소리를 줄여줄 수 있는지 물어볼 때","Do you mind turning down the radio?","라디오 소리 좀 줄여주시겠어요?","Do you mind (____) down the radio?","turning","turning up"
"도와줄 수 있는지 물어볼 때","Do you mind helping me with this?","이것 좀 도와주시겠어요?","Do you mind (____) me with this?","helping","hindering"
"문을 닫아줄 수 있는지 물어볼 때","Do you mind closing the door?","문 좀 닫아주시겠어요?","Do you mind (____) the door?","closing","opening"
"잠깐 기다려줄 수 있는지 물어볼 때","Do you mind waiting for a moment?","잠시 기다려주시겠어요?","Do you mind (____) for a moment?","waiting","leaving"
"의자를 옮겨줄 수 있는지 물어볼 때","Would you mind moving the chair?","의자 좀 옮겨주시겠어요?","Would you mind (____) the chair?","moving","leaving"
"음악을 바꿔줄 수 있는지 물어볼 때","Would you mind changing the music?","음악 좀 바꿔주시겠어요?","Would you mind (____) the music?","changing","keeping"
"휴대폰을 빌려줄 수 있는지 물어볼 때","Do you mind lending me your phone?","휴대폰 좀 빌려주시겠어요?","Do you mind (____) me your phone?","lending","keeping"
"다른 메뉴를 추천해줄 수 있는지 물어볼 때","Would you mind recommending another menu?","다른 메뉴를 추천해주시겠어요?","Would you mind (____) another menu?","recommending","avoiding"
"차를 빌려줄 수 있는지 물어볼 때","Would you mind lending me your car?","차 좀 빌려주시겠어요?","Would you mind (____) me your car?","lending","keeping"
"메모를 남겨줄 수 있는지 물어볼 때","Do you mind leaving a note?","메모를 남겨주시겠어요?","Do you mind (____) a note?","leaving","taking"
"의견을 공유해줄 수 있는지 물어볼 때","Do you mind sharing your opinion?","의견을 공유해주시겠어요?","Do you mind (____) your opinion?","sharing","hiding"
"좀 더 크게 말해줄 수 있는지 물어볼 때","Would you mind speaking up a bit?","좀 더 크게 말해주시겠어요?","Would you mind (____) up a bit?","speaking","whispering"
"내일 시간 낼 수 있는지 물어볼 때","Would you mind making some time tomorrow?","내일 시간 좀 내주실 수 있나요?","Would you mind (____) some time tomorrow?","making","ignoring"
"음식을 나눠줄 수 있는지 물어볼 때","Would you mind sharing the food?","음식을 나눠주실 수 있나요?","Would you mind (____) the food?","sharing","keeping"
"저녁을 같이 먹을 수 있는지 물어볼 때","Do you mind having dinner with me?","저녁을 같이 먹어도 될까요?","Do you mind (____) dinner with me?","having","skipping"
"잠시 쉬어도 되는지 물어볼 때","Do you mind if I take a break?","잠시 쉬어도 될까요?","Do you mind if I (____) a break?","take","miss"
"조용히 해줄 수 있는지 물어볼 때","Would you mind being quiet for a moment?","잠시 조용히 해주시겠어요?","Would you mind (____) quiet for a moment?","being","shouting"
"조금 더 설명해줄 수 있는지 물어볼 때","Would you mind explaining a bit more?","조금 더 설명해주시겠어요?","Would you mind (____) a bit more?","explaining","ignoring"
"차를 세워줄 수 있는지 물어볼 때","Would you mind parking the car?","차를 세워주시겠어요?","Would you mind (____) the car?","parking","driving"
"커피를 내려줄 수 있는지 물어볼 때","Do you mind making some coffee?","커피 좀 내려주시겠어요?","Do you mind (____) some coffee?","making","buying"
"오늘 모임에 참석할 수 있는지 물어볼 때","Would you mind attending the meeting today?","오늘 모임에 참석해주시겠어요?","Would you mind (____) the meeting today?","attending","missing"
"자리 좀 바꿔줄 수 있는지 물어볼 때","Would you mind switching seats?","자리 좀 바꿔주시겠어요?","Would you mind (____) seats?","switching","keeping"
"음식을 덜어줄 수 있는지 물어볼 때","Do you mind serving the food?","음식을 덜어주시겠어요?","Do you mind (____) the food?","serving","eating"
"노래를 불러줄 수 있는지 물어볼 때","Would you mind singing a song?","노래 한 곡 불러주시겠어요?","Would you mind (____) a song?","singing","writing"
"이름을 적어줄 수 있는지 물어볼 때","Do you mind writing down your name?","이름을 적어주시겠어요?","Do you mind (____) down your name?","writing","erasing"
