korean,correct,correctkorean,question,solution,wrong
"학교에 가고 있는지 물어볼 때","Are you going to school?","학교에 가고 있나요?","Are you (____) to school?","going","leaving"
"커피를 마시고 있는지 물어볼 때","Are you drinking coffee?","커피를 마시고 있나요?","Are you (____) coffee?","drinking","cooking"
"수업을 듣고 있는지 물어볼 때","Are you taking a class?","수업을 듣고 있나요?","Are you (____) a class?","taking","teaching"
"회의에 참석할 예정인지 물어볼 때","Are you attending the meeting?","회의에 참석할 예정인가요?","Are you (____) the meeting?","attending","leaving"
"점심을 먹었는지 물어볼 때","Are you having lunch?","점심을 먹었나요?","Are you (____) lunch?","having","skipping"
"친구를 기다리고 있는지 물어볼 때","Are you waiting for a friend?","친구를 기다리고 있나요?","Are you (____) for a friend?","waiting","ignoring"
"새로운 영화를 보고 있는지 물어볼 때","Are you watching the new movie?","새로운 영화를 보고 있나요?","Are you (____) the new movie?","watching","reading"
"숙제를 하고 있는지 물어볼 때","Are you doing your homework?","숙제를 하고 있나요?","Are you (____) your homework?","doing","copying"
"운동을 하고 있는지 물어볼 때","Are you exercising today?","오늘 운동을 하고 있나요?","Are you (____) today?","exercising","resting"
"저녁 식사를 준비하고 있는지 물어볼 때","Are you cooking dinner?","저녁 식사를 준비하고 있나요?","Are you (____) dinner?","cooking","ordering"
"일하고 있는지 물어볼 때","Are you working right now?","지금 일하고 있나요?","Are you (____) right now?","working","relaxing"
"여행을 계획하고 있는지 물어볼 때","Are you planning a trip?","여행을 계획하고 있나요?","Are you (____) a trip?","planning","cancelling"
"비를 맞고 있는지 물어볼 때","Are you getting wet?","비를 맞고 있나요?","Are you (____) wet?","getting","staying"
"아침에 조깅을 하고 있는지 물어볼 때","Are you jogging in the morning?","아침에 조깅을 하고 있나요?","Are you (____) in the morning?","jogging","walking"
"음악을 듣고 있는지 물어볼 때","Are you listening to music?","음악을 듣고 있나요?","Are you (____) to music?","listening","ignoring"
"주말에 일하러 가는지 물어볼 때","Are you working on the weekend?","주말에 일하러 가나요?","Are you (____) on the weekend?","working","relaxing"
"새로운 직장을 찾고 있는지 물어볼 때","Are you looking for a new job?","새로운 직장을 찾고 있나요?","Are you (____) for a new job?","looking","quitting"
"우산을 가져갔는지 물어볼 때","Are you taking an umbrella?","우산을 가져갔나요?","Are you (____) an umbrella?","taking","leaving"
"혼자 사는지 물어볼 때","Are you living alone?","혼자 살고 있나요?","Are you (____) alone?","living","visiting"
"빵을 굽고 있는지 물어볼 때","Are you baking bread?","빵을 굽고 있나요?","Are you (____) bread?","baking","burning"
"교통체증을 피하고 있는지 물어볼 때","Are you avoiding traffic?","교통체증을 피하고 있나요?","Are you (____) traffic?","avoiding","ignoring"
"테스트를 준비하고 있는지 물어볼 때","Are you studying for the test?","테스트를 준비하고 있나요?","Are you (____) for the test?","studying","sleeping"
"손님을 기다리고 있는지 물어볼 때","Are you expecting guests?","손님을 기다리고 있나요?","Are you (____) guests?","expecting","ignoring"
"새로운 스마트폰을 사고 있는지 물어볼 때","Are you buying a new smartphone?","새로운 스마트폰을 사고 있나요?","Are you (____) a new smartphone?","buying","selling"
"여름 방학을 기다리고 있는지 물어볼 때","Are you waiting for summer vacation?","여름 방학을 기다리고 있나요?","Are you (____) for summer vacation?","waiting","ending"
"바닷가에 가는지 물어볼 때","Are you going to the beach?","바닷가에 가고 있나요?","Are you (____) to the beach?","going","staying"
"잠을 자고 있는지 물어볼 때","Are you sleeping now?","지금 잠을 자고 있나요?","Are you (____) now?","sleeping","waking"
"책을 읽고 있는지 물어볼 때","Are you reading a book?","책을 읽고 있나요?","Are you (____) a book?","reading","writing"
"여행을 예약하고 있는지 물어볼 때","Are you booking a trip?","여행을 예약하고 있나요?","Are you (____) a trip?","booking","cancelling"
"친구에게 전화하고 있는지 물어볼 때","Are you calling your friend?","친구에게 전화하고 있나요?","Are you (____) your friend?","calling","ignoring"
"강아지를 산책시키고 있는지 물어볼 때","Are you walking the dog?","강아지를 산책시키고 있나요?","Are you (____) the dog?","walking","running"
"비디오 게임을 하고 있는지 물어볼 때","Are you playing video games?","비디오 게임을 하고 있나요?","Are you (____) video games?","playing","watching"
"조깅을 준비하고 있는지 물어볼 때","Are you preparing for a run?","조깅을 준비하고 있나요?","Are you (____) for a run?","preparing","resting"
"테니스를 치고 있는지 물어볼 때","Are you playing tennis?","테니스를 치고 있나요?","Are you (____) tennis?","playing","watching"
"밥을 먹고 있는지 물어볼 때","Are you eating dinner?","저녁을 먹고 있나요?","Are you (____) dinner?","eating","cooking"
"비디오를 촬영하고 있는지 물어볼 때","Are you recording a video?","비디오를 촬영하고 있나요?","Are you (____) a video?","recording","watching"
"새로운 직업을 찾고 있는지 물어볼 때","Are you seeking a new job?","새로운 직업을 찾고 있나요?","Are you (____) a new job?","seeking","quitting"
"영어 수업을 듣고 있는지 물어볼 때","Are you attending English class?","영어 수업을 듣고 있나요?","Are you (____) English class?","attending","skipping"
"야구 경기를 보고 있는지 물어볼 때","Are you watching the baseball game?","야구 경기를 보고 있나요?","Are you (____) the baseball game?","watching","playing"
"자전거를 타고 있는지 물어볼 때","Are you riding a bike?","자전거를 타고 있나요?","Are you (____) a bike?","riding","fixing"
"여행을 가고 있는지 물어볼 때","Are you going on a trip?","여행을 가고 있나요?","Are you (____) on a trip?","going","returning"
"강의를 듣고 있는지 물어볼 때","Are you listening to the lecture?","강의를 듣고 있나요?","Are you (____) to the lecture?","listening","speaking"
