korean,correct,correctkorean,question,solution,wrong
"오늘 밤에 일을 해야 하는지 물어볼 때","Do I have to work tonight?","오늘 밤에 일을 해야 하나요?","Do I have to (____) tonight?","work","rest"
"회의에 참석해야 하는지 물어볼 때","Do I have to attend the meeting?","회의에 참석해야 하나요?","Do I have to (____) the meeting?","attend","skip"
"다음 주에 출장을 가야 하는지 물어볼 때","Do I have to travel next week?","다음 주에 출장을 가야 하나요?","Do I have to (____) next week?","travel","stay"
"계속 기다려야 하는지 물어볼 때","Do I have to keep waiting?","계속 기다려야 하나요?","Do I have to (____) waiting?","keep","stop"
"이 보고서를 제출해야 하는지 물어볼 때","Do I have to submit this report?","이 보고서를 제출해야 하나요?","Do I have to (____) this report?","submit","read"
"매일 운동해야 하는지 물어볼 때","Do I have to exercise every day?","매일 운동해야 하나요?","Do I have to (____) every day?","exercise","relax"
"회의를 녹음해야 하는지 물어볼 때","Do I have to record the meeting?","회의를 녹음해야 하나요?","Do I have to (____) the meeting?","record","forget"
"이 약을 복용해야 하는지 물어볼 때","Do I have to take this medicine?","이 약을 복용해야 하나요?","Do I have to (____) this medicine?","take","avoid"
"새로운 프로젝트를 시작해야 하는지 물어볼 때","Do I have to start the new project?","새로운 프로젝트를 시작해야 하나요?","Do I have to (____) the new project?","start","stop"
"이 수업을 수강해야 하는지 물어볼 때","Do I have to take this class?","이 수업을 수강해야 하나요?","Do I have to (____) this class?","take","skip"
"공항에 일찍 도착해야 하는지 물어볼 때","Do I have to arrive at the airport early?","공항에 일찍 도착해야 하나요?","Do I have to (____) at the airport early?","arrive","leave"
"계산서를 내야 하는지 물어볼 때","Do I have to pay the bill?","계산서를 내야 하나요?","Do I have to (____) the bill?","pay","skip"
"내일 출근해야 하는지 물어볼 때","Do I have to go to work tomorrow?","내일 출근해야 하나요?","Do I have to (____) to work tomorrow?","go","stay"
"예약을 변경해야 하는지 물어볼 때","Do I have to change the reservation?","예약을 변경해야 하나요?","Do I have to (____) the reservation?","change","keep"
"계속 연락해야 하는지 물어볼 때","Do I have to keep in touch?","계속 연락해야 하나요?","Do I have to (____) in touch?","keep","ignore"
"이메일을 확인해야 하는지 물어볼 때","Do I have to check the email?","이메일을 확인해야 하나요?","Do I have to (____) the email?","check","ignore"
"이 시험을 다시 봐야 하는지 물어볼 때","Do I have to retake the test?","이 시험을 다시 봐야 하나요?","Do I have to (____) the test?","retake","pass"
"매달 회비를 내야 하는지 물어볼 때","Do I have to pay the monthly fee?","매달 회비를 내야 하나요?","Do I have to (____) the monthly fee?","pay","avoid"
"계속 공부해야 하는지 물어볼 때","Do I have to keep studying?","계속 공부해야 하나요?","Do I have to (____) studying?","keep","quit"
"계약을 갱신해야 하는지 물어볼 때","Do I have to renew the contract?","계약을 갱신해야 하나요?","Do I have to (____) the contract?","renew","cancel"
"이 서류를 작성해야 하는지 물어볼 때","Do I have to fill out this form?","이 서류를 작성해야 하나요?","Do I have to (____) this form?","fill","ignore"
"계속 일해야 하는지 물어볼 때","Do I have to continue working?","계속 일해야 하나요?","Do I have to (____) working?","continue","stop"
"숙제를 제출해야 하는지 물어볼 때","Do I have to submit the homework?","숙제를 제출해야 하나요?","Do I have to (____) the homework?","submit","copy"
"회의에 참석해야 하는지 물어볼 때","Do I have to join the meeting?","회의에 참석해야 하나요?","Do I have to (____) the meeting?","join","leave"
"비밀번호를 변경해야 하는지 물어볼 때","Do I have to change my password?","비밀번호를 변경해야 하나요?","Do I have to (____) my password?","change","keep"
"식사를 준비해야 하는지 물어볼 때","Do I have to prepare dinner?","식사를 준비해야 하나요?","Do I have to (____) dinner?","prepare","eat"
"회사에 복귀해야 하는지 물어볼 때","Do I have to return to the office?","회사에 복귀해야 하나요?","Do I have to (____) to the office?","return","stay"
"여권을 갱신해야 하는지 물어볼 때","Do I have to renew my passport?","여권을 갱신해야 하나요?","Do I have to (____) my passport?","renew","keep"
"새로운 계획을 세워야 하는지 물어볼 때","Do I have to make a new plan?","새로운 계획을 세워야 하나요?","Do I have to (____) a new plan?","make","break"
"항공권을 예약해야 하는지 물어볼 때","Do I have to book the flight?","항공권을 예약해야 하나요?","Do I have to (____) the flight?","book","cancel"
