korean,correct,correctkorean,question,solution,wrong
"어떻게 해야 할지 물어볼 때","What do you think I should do?","제가 어떻게 해야 할까요?","What do you think I should (____)?","do","go"
"내일 날씨가 어떤지 물어볼 때","What do you think the weather will be like tomorrow?","내일 날씨가 어떨 것 같나요?","What do you think the weather will (____) like tomorrow?","be","look"
"어떻게 도와줄 수 있는지 물어볼 때","What can I do to help you?","어떻게 도와드릴 수 있을까요?","What can I (____) to help you?","do","say"
"무엇을 주문해야 할지 물어볼 때","What should I order for dinner?","저녁으로 무엇을 주문해야 할까요?","What should I (____) for dinner?","order","skip"
"내일 할 일이 무엇인지 물어볼 때","What do you have planned for tomorrow?","내일 무슨 계획이 있나요?","What do you (____) planned for tomorrow?","have","avoid"
"어떤 음악을 들을지 물어볼 때","What kind of music do you like?","어떤 음악을 좋아하시나요?","What kind of music do you (____)?","like","dislike"
"어떤 책을 읽어야 할지 물어볼 때","What book should I read next?","다음에는 어떤 책을 읽어야 할까요?","What book should I (____) next?","read","write"
"어디로 가야 할지 물어볼 때","Where should I go for vacation?","휴가로 어디에 가야 할까요?","Where should I (____) for vacation?","go","stay"
"언제 시작해야 할지 물어볼 때","When should I start the project?","언제 프로젝트를 시작해야 하나요?","When should I (____) the project?","start","end"
"누구에게 물어봐야 할지 물어볼 때","Who should I ask for advice?","누구에게 조언을 구해야 하나요?","Who should I (____) for advice?","ask","tell"
"무엇을 기대해야 할지 물어볼 때","What should I expect at the meeting?","회의에서 무엇을 기대해야 하나요?","What should I (____) at the meeting?","expect","ignore"
"어떻게 준비해야 할지 물어볼 때","How should I prepare for the interview?","면접을 어떻게 준비해야 하나요?","How should I (____) for the interview?","prepare","forget"
"어떤 운동을 해야 할지 물어볼 때","What exercise should I do to stay fit?","건강을 유지하려면 어떤 운동을 해야 하나요?","What exercise should I (____) to stay fit?","do","avoid"
"어떻게 하면 더 잘할 수 있을지 물어볼 때","How can I improve my skills?","어떻게 하면 기술을 향상시킬 수 있을까요?","How can I (____) my skills?","improve","neglect"
"어떤 색이 어울릴지 물어볼 때","What color do you think suits me best?","어떤 색이 저에게 가장 잘 어울릴까요?","What color do you think (____) me best?","suits","fades"
"무엇을 먹을지 물어볼 때","What should I eat for breakfast?","아침으로 무엇을 먹어야 할까요?","What should I (____) for breakfast?","eat","drink"
"무엇을 기대해야 할지 물어볼 때","What do you expect from this project?","이 프로젝트에서 무엇을 기대하나요?","What do you (____) from this project?","expect","ignore"
"어떻게 시작해야 할지 물어볼 때","How should I start learning a new language?","새 언어를 어떻게 시작해야 하나요?","How should I (____) learning a new language?","start","stop"
"어떤 영화가 좋은지 물어볼 때","What movie do you recommend watching?","어떤 영화를 추천하시나요?","What movie do you (____) watching?","recommend","avoid"
